,Train,Test,Val,lr
0,53.37662372124501,47.20189,25.911783,1e-05
1,43.22710779680961,42.53194,22.051329,1e-05
2,35.554866162471285,39.173412,19.537016,5e-06
3,32.366977930289046,37.758617,18.531126,2.5e-06
4,31.03025916004181,37.147785,18.109032,1.25e-06
5,30.425017558892574,36.86684,17.917927,6.25e-07
6,30.102917090134742,36.73268,17.827354,3.125e-07
7,30.02434855467234,36.666843,17.783127,1.5625e-07
8,29.910671466167155,36.63435,17.761328,7.8125e-08
9,29.883148291563376,36.618332,17.750612,3.90625e-08
10,29.87385738595327,36.61076,17.745577,1.953125e-08
11,29.85713918537971,36.60728,17.743258,9.765625e-09
12,29.851313789428804,36.60588,17.742346,4.8828125e-09
13,29.85727932856633,36.60545,17.742065,2.44140625e-09
14,29.868195319493612,36.605335,17.741995,1.220703125e-09
15,29.881812151982235,36.605312,17.741982,6.103515625e-10
16,29.854180124405104,36.605312,17.741976,3.0517578125e-10
17,29.84780997926761,36.60531,17.741976,1.52587890625e-10
18,29.84293779417185,36.60531,17.741976,7.62939453125e-11
19,29.906926681261798,36.60531,17.741976,3.814697265625e-11
