Hour,mean,std,count
0,0.025774066814272117,0.01724746598355249,336
1,0.02399414131924364,0.016429568253401344,285
2,0.026427533829504513,0.01675841026609775,307
3,0.021852423770598213,0.016735955049885468,303
4,0.020387765377670997,0.017595758356683158,302
5,0.021235129345725648,0.015495860632753369,373
6,0.04211660976204087,0.020140531230626636,327
7,0.04825359738849673,0.01871723020505106,276
8,0.05187597949986505,0.018239869732154496,274
9,0.05243060678433841,0.018015168735490215,287
10,0.0519796365867633,0.017835965729844878,276
11,0.05406141714862922,0.01647272200238821,293
12,0.04444067169191111,0.015779735104444623,354
13,0.04931706119489608,0.01705515525587021,313
14,0.052671621589469676,0.015718049664911506,322
15,0.0493007967238039,0.014796086535107236,358
16,0.04694990686966024,0.01378884136384701,349
17,0.04160809802611467,0.014246700813391208,368
18,0.03846022888828977,0.013477815012426028,374
19,0.03678339039691197,0.012748638556506995,379
20,0.03458111394789614,0.011830496596892368,379
21,0.0325593821302502,0.012531997423249517,371
22,0.03300294433160557,0.013864205067819869,367
23,0.031221465817559586,0.014084904434004899,361
