weekday,mean,std,count
0,0.04864799304575339,0.14651255401278585,62
1,0.1506732090089464,0.07531626743772507,62
2,0.18957961631697287,0.10513700633462639,62
3,0.2239621730447201,0.05071003617000363,62
4,0.2284433760700805,0.10352467742781768,62
5,0.15508357270072431,0.07094732194907921,62
6,0.025489880849973563,0.06659626418761279,62
