,Train,Test,Val,orders
0,67.31318889458974,181.37710417111714,78.92743639151256,"(0, 0, 0)"
1,67.31318889458974,181.37710417111714,78.92743639151256,"(0, 0, 1)"
2,67.31318889458974,181.37710417111714,78.92743639151256,"(0, 0, 2)"
3,70.89986375967662,186.77733893394472,83.43969793319702,"(0, 1, 0)"
4,66.97180804411569,180.87977894147238,78.46582695643106,"(0, 1, 1)"
5,67.06360167662304,181.00651410420735,78.56633786360423,"(0, 1, 2)"
6,14785611.420525497,1475475.8714566391,439107.8080266952,"(0, 2, 0)"
7,70.94048438866933,186.7971354484558,83.45045628547668,"(0, 2, 1)"
8,64.82168875535329,179.64484680493672,77.47680050532024,"(0, 2, 2)"
9,67.31318889458974,181.37710417111714,78.92743639151256,"(1, 0, 0)"
10,67.3131888071696,181.37712230682374,78.92744599183402,"(1, 0, 1)"
11,67.30742334524791,181.35985450744627,78.90371513366699,"(1, 0, 2)"
12,69.93751858870189,185.0530875682831,82.27040041287741,"(1, 1, 0)"
13,67.04812638759614,180.98466588656106,78.55253565311432,"(1, 1, 1)"
14,67.40662288665771,181.4862969398499,79.12624673843385,"(1, 1, 2)"
15,2256865.737192162,228438.640206639,68312.14813086193,"(1, 2, 0)"
16,69.68195036252341,184.87372846603395,82.20035376548769,"(1, 2, 1)"
17,74.74642769495647,185.65965895652775,80.11746138731638,"(1, 2, 2)"
18,67.31318887074788,181.3771043141683,78.9274365901947,"(2, 0, 0)"
19,67.30772533416747,181.36075042088825,78.90496895313264,"(2, 0, 1)"
20,67.30740662415822,181.35980432828265,78.90364084243775,"(2, 0, 2)"
21,69.72188252607982,184.66883940696718,82.02136154174805,"(2, 1, 0)"
22,67.05193434556325,180.99013732274375,78.57775295575459,"(2, 1, 1)"
23,67.01120066642761,180.9324034690857,78.51610233783721,"(2, 1, 2)"
24,159693.82885882855,17303.821977472307,5294.0035670598345,"(2, 2, 0)"
25,69.28357696533203,184.35356583595276,81.89719614982606,"(2, 2, 1)"
26,60.28571677207947,171.126611216863,74.36809899012248,"(2, 2, 2)"
